"Contract","Realized PNL","Realized PNL %","Close Time","PNL Details"
"
XRP Perpetual/USDT
Long
Isolated","
15.60 USDT
≈ 15.6 USD","
+0.63%","
6/9/2025, 15:38:54","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
126.41 USDT
≈ 126.41 USD","
+2.30%","
6/9/2025, 05:05:07","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
27.69 USDT
≈ 27.69 USD","
+5.76%","
6/6/2025, 05:20:40","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
3.96 USDT
≈ 3.96 USD","
+0.32%","
6/5/2025, 16:46:57","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
1.25 USDT
≈ 1.25 USD","
+0.15%","
6/5/2025, 13:31:31","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
0.86 USDT
≈ 0.86 USD","
+0.14%","
6/5/2025, 08:24:48","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
54.60 USDT
≈ 54.6 USD","
+1.96%","
6/5/2025, 04:13:07","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
7.19 USDT
≈ 7.19 USD","
+0.41%","
6/4/2025, 18:17:14","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
3.85 USDT
≈ 3.85 USD","
+0.16%","
6/4/2025, 13:33:07","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
2.43 USDT
≈ 2.43 USD","
+0.30%","
6/4/2025, 03:38:35","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
21.51 USDT
≈ 21.51 USD","
+0.61%","
6/4/2025, 03:01:10","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
1.65 USDT
≈ 1.65 USD","
+0.31%","
6/4/2025, 01:18:56","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
0.17 USDT
≈ 0.17 USD","
+0.07%","
6/3/2025, 22:51:31","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
3.04 USDT
≈ 3.04 USD","
+0.22%","
6/3/2025, 22:21:47","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
4.43 USDT
≈ 4.43 USD","
+0.39%","
6/3/2025, 15:35:37","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
7.44 USDT
≈ 7.44 USD","
+0.31%","
6/3/2025, 08:29:09","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
2.49 USDT
≈ 2.49 USD","
+0.36%","
6/2/2025, 22:07:04","
Details"
"
XRP Perpetual/USDT
Long
Isolated","
0.50 USDT
≈ 0.5 USD","
+0.05%","
6/2/2025, 21:33:47","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
0.78 USDT
≈ 0.78 USD","
+0.38%","
6/2/2025, 18:54:25","
Details"
"
DOGE Perpetual/USDT
Short
Isolated","
0.81 USDT
≈ 0.81 USD","
+0.17%","
6/2/2025, 17:13:38","
Details"
